,buying_price,maint_price,doors_count,person_count,lug_boot_size,safety,class
345,1,3,4,больше,1,1,1
346,1,0,больше,2,2,1,0
347,1,2,3,больше,1,1,1
348,0,0,больше,больше,1,1,2
349,3,3,3,больше,2,0,0
350,2,1,больше,4,0,2,1
351,0,1,больше,больше,2,0,0
352,0,1,4,больше,1,0,0
353,1,0,2,2,2,0,0
354,1,3,4,4,0,2,1
355,2,2,3,больше,0,2,1
356,3,2,2,4,2,2,0
357,3,0,3,2,2,1,0
358,2,0,4,4,1,0,0
359,0,2,2,4,1,1,1
360,2,0,3,больше,1,1,1
361,0,0,больше,больше,0,2,2
362,0,1,4,4,1,0,0
363,0,0,3,4,0,0,0
364,2,0,2,2,0,0,0
365,2,3,больше,больше,0,2,0
366,2,0,3,больше,1,0,0
367,3,0,2,2,1,0,0
368,0,3,2,больше,0,2,0
369,2,2,3,2,2,2,0
370,2,3,4,4,2,2,0
371,2,0,4,4,2,1,1
372,2,2,4,2,1,1,0
373,3,3,2,2,2,2,0
374,3,1,больше,4,1,0,0
375,0,0,4,2,1,1,0
376,0,1,3,больше,0,0,0
377,2,0,больше,больше,0,1,0
378,0,2,4,4,2,2,3
379,3,0,4,4,1,2,1
380,0,3,2,4,0,1,0
381,2,1,3,4,1,1,0
382,1,3,больше,больше,2,1,1
383,3,1,больше,больше,1,1,1
384,3,2,3,4,1,0,0
385,2,0,4,4,0,0,0
386,3,0,2,больше,1,2,1
387,1,2,больше,2,2,0,0
388,3,3,4,больше,1,2,0
389,1,0,4,4,1,0,0
390,1,0,4,больше,0,2,2
391,1,1,больше,2,2,2,0
392,0,0,больше,4,0,2,2
393,2,2,2,2,0,2,0
394,2,2,2,4,2,2,1
395,3,2,больше,4,1,0,0
396,1,0,больше,2,0,2,0
397,0,3,больше,больше,2,1,1
398,3,0,больше,больше,0,2,1
399,0,0,2,4,1,2,2
400,3,2,3,4,0,0,0
401,0,3,2,4,1,2,1
402,1,2,2,2,0,2,0
403,1,1,4,2,1,2,0
404,0,2,4,4,0,0,0
405,2,0,3,2,1,2,0
406,3,1,больше,больше,1,2,1
407,2,2,больше,4,0,0,0
408,2,2,3,больше,0,1,0
409,0,1,2,4,1,1,1
410,1,1,3,больше,1,1,1
411,0,0,больше,больше,2,2,3
412,1,1,3,больше,2,2,3
413,1,1,больше,2,2,1,0
414,1,2,2,больше,0,2,0
415,2,1,3,больше,0,2,1
416,2,0,2,больше,2,2,1
417,0,1,больше,больше,2,1,2
418,1,3,больше,4,0,1,0
419,0,2,3,больше,2,0,0
420,3,1,больше,2,0,2,0
421,3,1,больше,2,0,0,0
422,0,0,больше,больше,2,1,2
423,0,2,больше,больше,0,1,1
424,2,2,3,4,2,1,1
425,2,2,больше,4,1,0,0
426,3,1,3,больше,0,1,0
427,3,0,3,больше,1,1,1
428,0,3,4,больше,1,1,1
429,3,1,4,4,1,1,1
430,2,3,4,больше,2,1,0
431,1,2,больше,2,0,0,0
432,2,2,2,больше,2,0,0
433,0,2,4,4,1,2,3
434,2,2,3,больше,2,2,1
435,2,2,4,4,0,0,0
436,2,3,больше,4,2,2,0
437,3,2,4,2,1,2,0
438,1,0,больше,больше,1,2,3
439,2,0,2,больше,0,1,0
440,3,0,3,больше,1,0,0
441,2,3,3,больше,2,0,0
442,0,1,3,2,0,2,0
443,3,1,больше,2,2,2,0
444,0,3,2,2,1,1,0
445,2,3,2,больше,1,2,0
446,3,3,3,больше,1,2,0
447,3,1,3,2,2,0,0
448,3,3,2,2,1,1,0
449,0,1,больше,4,1,0,0
450,2,1,4,2,1,2,0
451,2,3,3,больше,0,0,0
452,2,1,2,4,2,0,0
453,0,3,больше,4,2,1,1
454,3,3,больше,4,1,0,0
455,1,0,больше,4,0,0,0
456,0,3,2,2,2,0,0
457,2,0,больше,4,2,2,1
458,3,0,3,больше,1,2,1
459,1,3,3,2,0,2,0
460,2,2,4,2,2,0,0
461,3,2,4,4,2,0,0
462,3,0,4,4,0,0,0
463,3,1,3,2,0,1,0
464,0,2,4,больше,1,0,0
465,1,2,2,больше,0,1,0
466,1,3,3,2,2,2,0
467,2,2,больше,2,2,0,0
468,3,3,больше,больше,0,1,0
469,0,1,3,больше,2,2,3
470,0,1,больше,4,0,2,2
471,3,2,4,2,2,2,0
472,3,1,4,4,2,2,1
473,2,1,2,2,1,2,0
474,3,0,2,2,0,1,0
475,1,2,4,2,0,0,0
476,0,0,больше,4,2,0,0
477,1,3,больше,2,2,0,0
478,2,2,3,больше,2,0,0
479,3,3,3,2,0,0,0
480,1,3,3,больше,0,0,0
481,3,0,3,2,0,2,0
482,0,3,3,2,0,0,0
483,2,0,2,4,2,1,1
484,0,0,4,больше,1,2,3
485,3,0,4,4,0,1,0
486,0,0,больше,2,0,0,0
487,3,0,больше,больше,0,1,0
488,1,2,4,4,1,2,1
489,2,1,2,2,2,2,0
490,1,0,больше,4,2,2,3
491,1,1,3,2,1,0,0
492,0,0,2,2,1,1,0
493,1,1,4,больше,2,0,0
494,3,3,4,4,2,0,0
495,1,3,4,2,1,0,0
496,2,1,3,2,2,1,0
497,0,2,4,2,2,1,0
498,2,1,4,4,2,2,1
499,0,3,4,4,0,2,1
500,2,1,больше,больше,0,1,0
501,3,2,больше,2,0,2,0
502,0,1,4,4,2,1,2
503,3,0,4,2,0,2,0
504,1,2,больше,4,1,0,0
505,0,2,4,4,1,0,0
506,0,0,2,4,1,1,1
507,2,0,больше,больше,1,0,0
508,1,3,больше,больше,0,2,1
509,3,1,4,4,0,1,0
510,3,2,2,4,1,0,0
511,0,3,больше,2,2,0,0
512,0,2,2,больше,1,2,1
513,3,1,2,4,2,2,1
514,2,2,2,2,0,1,0
515,2,3,больше,2,2,1,0
516,0,1,2,4,2,1,2
517,3,2,2,2,1,1,0
518,1,1,4,больше,0,2,1
519,0,0,4,4,2,1,2
520,1,1,3,4,2,2,3
521,3,0,2,2,2,1,0
522,2,3,4,2,2,0,0
523,0,0,3,4,1,2,2
524,1,2,3,2,1,1,0
525,1,0,4,2,1,1,0
526,1,3,больше,2,0,0,0
527,1,2,2,4,0,1,0
528,0,2,4,4,2,1,1
529,1,2,3,2,0,0,0
530,3,2,больше,2,1,1,0
531,0,0,2,больше,1,1,1
532,0,2,3,2,1,2,0
533,2,3,больше,4,1,2,0
534,3,3,больше,2,1,0,0
535,2,0,2,2,1,1,0
536,3,3,4,2,2,0,0
537,0,2,4,2,2,0,0
538,3,0,4,2,0,1,0
539,0,0,3,4,2,1,2
540,1,1,больше,4,1,0,0
541,0,3,3,2,0,1,0
542,0,1,3,больше,0,1,1
543,2,1,больше,2,0,1,0
544,0,2,3,2,2,2,0
545,1,0,3,больше,0,1,1
546,0,0,2,4,0,0,0
547,1,0,4,больше,2,2,3
548,2,3,3,2,1,0,0
549,0,1,3,2,1,1,0
550,3,2,3,4,2,2,0
551,3,3,4,больше,1,0,0
552,3,2,3,4,1,2,0
553,2,1,4,4,1,2,1
554,2,1,4,2,2,2,0
555,1,2,3,больше,0,0,0
556,1,1,4,больше,0,1,1
557,1,2,больше,больше,0,0,0
558,0,3,4,4,1,2,1
559,1,2,4,больше,1,0,0
560,0,0,4,4,2,2,3
561,2,3,2,больше,2,1,0
562,3,0,4,2,1,2,0
563,2,3,4,4,1,0,0
564,0,2,2,4,0,1,1
565,1,3,3,больше,0,2,1
566,1,0,3,4,1,1,1
567,1,2,больше,больше,2,1,1
568,3,3,3,4,0,1,0
569,3,0,2,больше,0,2,0
570,3,3,2,4,0,2,0
571,1,0,4,2,2,2,0
572,2,1,3,2,0,0,0
573,1,2,3,больше,2,2,1
574,1,3,4,4,2,1,1
575,2,3,больше,2,1,0,0
576,1,3,больше,больше,0,0,0
577,3,3,2,больше,0,0,0
578,1,2,2,2,2,1,0
579,0,3,2,больше,1,1,0
580,1,0,3,2,2,1,0
581,1,0,больше,2,0,1,0
582,0,3,3,4,2,1,1
583,3,0,3,2,1,1,0
584,2,3,2,больше,0,1,0
585,3,1,2,2,1,0,0
586,0,2,2,4,1,0,0
587,3,3,3,2,0,1,0
588,0,1,больше,больше,1,2,3
589,2,3,2,2,0,1,0
590,3,1,2,4,0,0,0
591,3,1,4,4,1,2,1
592,1,2,4,2,2,1,0
593,0,0,2,больше,2,0,0
594,3,0,2,4,1,2,1
595,1,3,3,4,1,0,0
596,1,2,3,4,0,1,0
597,1,2,2,больше,1,1,0
598,3,0,2,4,0,2,1
599,1,1,3,2,1,1,0
600,2,1,3,больше,2,2,1
601,2,3,2,4,0,0,0
602,2,2,4,больше,2,2,1
603,2,1,4,4,0,2,1
604,2,2,4,больше,1,1,1
605,1,2,3,4,0,0,0
606,0,2,3,больше,1,0,0
607,1,0,больше,4,1,2,3
608,3,1,2,4,1,0,0
609,3,3,4,2,1,1,0
610,0,3,3,больше,1,0,0
611,1,3,больше,больше,0,1,0
612,2,0,2,4,2,0,0
613,1,0,больше,2,1,2,0
614,2,1,2,больше,0,2,0
615,2,0,2,2,2,0,0
616,1,0,3,больше,1,2,3
617,2,1,4,больше,0,2,1
618,3,3,2,4,1,0,0
619,3,3,3,4,2,0,0
620,1,1,3,2,2,1,0
621,1,3,больше,2,1,2,0
622,0,0,4,2,0,0,0
623,0,2,больше,больше,2,2,3
624,2,1,больше,4,1,2,1
625,3,0,3,2,0,1,0
626,1,0,3,4,2,1,2
627,2,1,4,2,0,1,0
628,0,2,3,4,1,1,1
629,3,0,4,2,0,0,0
630,3,3,2,больше,2,0,0
631,0,1,больше,2,0,0,0
632,2,0,больше,больше,1,2,1
633,2,2,4,2,2,1,0
634,3,3,4,больше,2,0,0
635,1,0,2,4,1,2,2
636,2,1,4,4,1,0,0
637,0,0,4,4,2,0,0
638,2,0,больше,4,1,0,0
639,3,1,4,2,2,2,0
640,1,1,2,2,0,2,0
641,1,1,2,4,2,2,3
642,1,3,4,больше,2,0,0
643,3,0,4,больше,2,2,1
644,3,2,4,больше,0,2,0
645,0,1,больше,2,0,1,0
646,0,1,3,больше,2,0,0
647,1,0,3,4,2,2,3
648,1,0,больше,4,0,2,2
649,1,3,3,4,2,0,0
650,3,3,2,4,2,1,0
651,3,0,3,2,0,0,0
652,0,3,3,больше,0,1,0
653,1,0,2,4,0,2,2
654,0,1,2,больше,0,1,0
655,3,2,3,2,1,0,0
656,1,2,4,больше,1,1,1
657,1,3,больше,4,1,2,1
658,2,0,4,больше,1,1,1
659,3,1,3,2,1,1,0
660,2,3,2,2,0,0,0
661,0,1,3,2,2,0,0
662,2,3,2,больше,2,2,0
663,3,2,2,2,2,0,0
664,2,2,больше,больше,2,1,1
665,2,1,3,2,1,1,0
666,3,1,больше,4,2,2,1
667,0,1,4,2,2,1,0
668,3,3,2,2,0,0,0
669,2,2,4,4,2,0,0
670,2,0,больше,4,1,2,1
671,0,1,больше,4,2,2,3
672,1,2,2,2,0,0,0
673,1,1,3,2,0,0,0
674,2,0,3,2,2,1,0
675,0,0,3,больше,0,1,1
676,3,1,4,больше,0,2,1
677,2,2,больше,2,0,2,0
678,3,1,3,2,0,0,0
679,2,0,2,больше,0,0,0
680,2,1,4,2,0,2,0
681,0,1,3,2,0,0,0
682,2,2,больше,2,1,1,0
683,0,2,2,4,2,2,3
684,1,0,4,2,1,0,0
685,0,0,2,2,0,0,0
686,3,3,4,2,0,0,0
687,2,2,4,больше,1,2,1
688,0,2,больше,2,0,2,0
689,1,3,больше,4,2,1,1
690,1,1,3,4,2,1,1
691,1,2,4,больше,2,0,0
692,2,0,3,больше,2,1,1
693,1,0,3,2,0,0,0
694,3,2,больше,4,0,0,0
695,0,1,2,2,0,1,0
696,0,0,4,4,0,0,0
697,3,0,больше,больше,1,1,1
698,3,1,2,2,0,2,0
699,1,0,4,больше,0,1,1
700,0,2,больше,4,2,1,1
701,0,3,больше,2,2,1,0
702,0,0,больше,4,1,0,0
703,3,1,3,4,1,2,1
704,0,1,4,2,1,2,0
705,2,0,3,4,0,1,0
706,1,3,больше,2,0,2,0
707,0,0,больше,4,0,1,1
708,3,0,4,больше,0,2,1
709,2,0,больше,2,2,2,0
710,1,2,4,4,0,1,0
711,3,0,3,2,1,2,0
712,3,2,больше,4,2,1,0
713,1,1,3,больше,1,0,0
714,1,1,больше,больше,1,1,1
715,0,2,2,больше,1,0,0
716,0,1,2,больше,0,0,0
717,3,0,2,больше,2,1,1
718,2,3,3,больше,1,1,0
719,0,2,2,больше,2,1,1
720,3,0,больше,4,1,2,1
721,0,1,3,4,2,1,2
722,3,1,больше,больше,0,1,0
723,1,0,2,4,2,0,0
724,0,2,2,2,2,0,0
725,2,3,2,4,2,1,0
726,0,2,3,4,0,0,0
727,2,1,2,2,2,1,0
728,1,1,больше,2,1,1,0
729,0,3,4,больше,2,0,0
730,2,0,3,2,1,0,0
731,2,3,4,больше,2,2,0
732,3,2,4,2,0,2,0
733,1,2,3,4,1,0,0
734,0,3,3,больше,2,2,1
735,2,1,4,больше,1,0,0
736,2,1,3,2,0,2,0
737,1,3,больше,больше,1,0,0
738,2,0,больше,2,2,1,0
739,1,3,4,больше,1,0,0
740,2,0,больше,больше,0,0,0
741,2,3,4,2,2,1,0
742,1,3,3,больше,2,0,0
743,2,3,3,4,0,1,0
744,3,0,2,больше,1,1,0
745,2,0,2,больше,1,1,0
746,1,2,4,больше,0,1,0
747,3,3,больше,2,1,2,0
748,0,2,больше,2,1,2,0
749,0,0,2,больше,1,0,0
750,3,0,больше,2,0,0,0
751,0,2,больше,2,1,0,0
752,2,2,больше,4,2,1,1
753,0,1,2,больше,2,1,2
754,0,0,больше,больше,0,1,1
755,0,0,3,2,2,2,0
756,2,1,больше,2,0,0,0
757,3,2,3,больше,0,1,0
758,1,3,2,больше,1,2,1
759,2,3,больше,больше,1,2,0
760,1,2,3,2,2,2,0
761,2,2,3,2,1,2,0
762,0,1,4,больше,1,1,2
763,2,2,2,больше,0,2,0
764,3,1,2,больше,2,0,0
765,2,3,3,больше,1,2,0
766,3,1,2,4,2,1,1
767,3,2,3,4,2,1,0
768,3,1,2,больше,1,0,0
769,0,1,4,4,0,0,0
770,0,3,4,4,2,2,1
771,1,3,4,4,1,2,1
772,2,0,4,2,0,2,0
773,1,2,3,больше,0,1,0
774,3,3,больше,4,0,2,0
775,0,3,больше,2,0,2,0
776,2,1,4,4,0,0,0
777,1,1,2,больше,1,0,0
778,1,0,4,4,2,1,2
779,0,2,больше,4,1,0,0
780,2,1,3,больше,2,1,1
781,0,3,4,больше,0,1,0
782,0,2,больше,больше,2,0,0
783,0,3,4,4,1,0,0
784,0,3,2,2,0,2,0
785,1,1,3,2,0,2,0
786,0,0,2,2,0,2,0
787,3,0,больше,4,0,2,1
788,3,1,больше,4,2,0,0
789,2,1,2,2,1,1,0
790,3,2,2,2,2,2,0
791,2,1,3,4,2,0,0
792,2,0,4,4,0,2,1
793,0,0,больше,2,0,2,0
794,3,0,4,4,2,0,0
795,1,1,больше,2,0,1,0
796,3,2,4,4,1,1,0
797,2,0,2,больше,1,2,1
798,2,1,2,2,0,2,0
799,3,1,больше,больше,1,0,0
800,1,3,4,2,2,0,0
801,2,1,3,4,0,2,1
802,1,2,3,4,2,2,1
803,0,3,больше,2,0,0,0
804,2,0,4,2,2,0,0
805,1,3,2,4,2,2,1
806,2,1,4,больше,1,2,1
807,0,2,3,2,0,2,0
808,1,2,4,больше,2,1,1
809,0,2,2,больше,1,1,1
810,1,2,3,4,2,0,0
811,3,3,4,4,0,1,0
812,0,2,4,4,0,2,1
813,3,1,4,2,0,0,0
814,0,2,4,больше,2,2,3
815,3,3,4,4,2,1,0
816,3,0,больше,больше,2,0,0
817,1,1,4,2,1,0,0
818,2,3,3,4,1,2,0
819,1,2,2,4,2,2,1
820,3,0,3,4,2,1,1
821,3,3,больше,больше,1,0,0
822,1,2,больше,4,2,2,1
823,1,2,больше,2,1,2,0
824,0,2,3,4,1,0,0
825,3,0,3,4,1,2,1
826,3,0,больше,2,2,1,0
827,2,2,больше,больше,2,2,1
828,2,1,2,больше,2,2,1
829,2,3,больше,2,2,2,0
830,1,1,2,больше,0,1,0
831,2,1,больше,2,0,2,0
832,1,1,больше,больше,1,2,3
833,0,1,3,4,2,0,0
834,3,2,больше,больше,2,1,0
835,3,1,4,4,0,0,0
836,0,3,4,2,0,2,0
837,3,2,2,2,1,2,0
838,1,3,больше,4,0,2,1
839,2,0,больше,больше,2,0,0
